date,confirmed_cases
2020-01-23,0.0
2020-01-24,0.0
2020-01-25,0.0
2020-01-26,0.0
2020-01-27,0.0
2020-01-28,0.0
2020-01-29,0.0
2020-01-30,0.0
2020-01-31,0.0
2020-02-01,0.0
2020-02-02,0.0
2020-02-03,0.0
2020-02-04,0.0
2020-02-05,0.0
2020-02-06,0.0
2020-02-07,0.0
2020-02-08,0.0
2020-02-09,0.0
2020-02-10,0.0
2020-02-11,0.0
2020-02-12,0.0
2020-02-13,0.0
2020-02-14,0.0
2020-02-15,0.0
2020-02-16,0.0
2020-02-17,0.0
2020-02-18,0.0
2020-02-19,0.0
2020-02-20,0.0
2020-02-21,0.0
2020-02-22,0.0
2020-02-23,0.0
2020-02-24,0.0
2020-02-25,0.0
2020-02-26,0.0
2020-02-27,0.0
2020-02-28,0.0
2020-02-29,0.0
2020-03-01,0.0
2020-03-02,0.0
2020-03-03,0.0
2020-03-04,0.0
2020-03-05,0.0
2020-03-06,0.0
2020-03-07,0.0
2020-03-08,0.0
2020-03-09,0.0
2020-03-10,1.0
2020-03-11,1.0
2020-03-12,2.0
2020-03-13,4.0
2020-03-14,7.0
2020-03-15,0.0
2020-03-16,14.0
2020-03-17,19.0
2020-03-18,21.0
2020-03-19,33.0
2020-03-20,20.0
2020-03-21,0.0
2020-03-22,86.0
2020-03-23,62.0
2020-03-24,114.0
2020-03-25,162.0
2020-03-26,61.0
2020-03-27,145.0
2020-03-28,156.0
2020-03-29,337.0
2020-03-30,200.0
2020-03-31,425.0
2020-04-01,116.0
2020-04-02,146.0
2020-04-03,584.0
2020-04-04,108.0
2020-04-05,226.0
2020-04-06,669.0
2020-04-07,417.0
2020-04-08,0.0
2020-04-09,746.0
2020-04-10,298.0
2020-04-11,227.0
2020-04-12,127.0
2020-04-13,470.0
2020-04-14,209.0
2020-04-15,267.0
2020-04-16,336.0
2020-04-17,330.0
2020-04-18,217.0
2020-04-19,71.0
2020-04-20,886.0
2020-04-21,152.0
2020-04-22,1411.0
2020-04-23,125.0
2020-04-24,219.0
2020-04-25,146.0
2020-04-26,156.0
2020-04-27,234.0
2020-04-28,111.0
2020-04-29,111.0
2020-04-30,309.0
2020-05-01,318.0
2020-05-02,189.0
2020-05-03,0.0
2020-05-04,444.0
2020-05-05,115.0
2020-05-06,95.0
2020-05-07,224.0
2020-05-08,200.0
2020-05-09,151.0
2020-05-10,206.0
2020-05-11,76.0
2020-05-12,176.0
2020-05-13,148.0
2020-05-14,200.0
2020-05-15,173.0
2020-05-16,131.0
2020-05-17,108.0
2020-05-18,191.0
2020-05-19,83.0
2020-05-20,197.0
