date,confirmed_cases,hosp_cases,Series_Complete_Pop_Pct,Series_Complete_Yes,Series_Complete_12Plus,Series_Complete_12PlusPop_Pct,Series_Complete_18Plus,Series_Complete_18PlusPop_Pct,Series_Complete_65Plus,Series_Complete_65PlusPop_Pct,death,Face_Masks_Required_in_Public,unemployment_rate,mask_required
2020-12-07,2305.0,364.0,,,,,,,,,21.0,Yes,,1
2020-12-08,536.0,365.0,,,,,,,,,1.0,Yes,,1
2020-12-09,604.0,337.0,,,,,,,,,10.0,Yes,,1
2020-12-10,529.0,322.0,,,,,,,,,4.0,Yes,,1
2020-12-11,1106.0,,,,,,,,,,7.0,Yes,,1
2020-12-12,0.0,,,,,,,,,,0.0,Yes,,1
2020-12-13,0.0,307.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Yes,,1
2020-12-14,1693.0,303.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,Yes,,1
2020-12-15,571.0,304.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,Yes,,1
2020-12-16,543.0,296.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,Yes,,1
2020-12-17,614.0,280.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,Yes,,1
2020-12-18,578.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,Yes,,1
2020-12-19,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Yes,,1
2020-12-20,0.0,285.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Yes,,1
2020-12-21,1103.0,292.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,Yes,,1
2020-12-22,363.0,279.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,Yes,,1
2020-12-23,494.0,297.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,Yes,,1
2020-12-24,527.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,Yes,,1
2020-12-25,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Yes,,1
2020-12-26,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Yes,,1
2020-12-27,0.0,291.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Yes,,1
2020-12-28,1936.0,290.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,Yes,,1
2020-12-29,216.0,291.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,Yes,,1
2020-12-30,392.0,295.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,Yes,,1
2020-12-31,643.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,Yes,,1
2021-01-01,0.0,264.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Yes,8.5,1
2021-01-02,1179.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,Yes,,1
2021-01-03,0.0,292.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Yes,,1
2021-01-04,964.0,293.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,Yes,,1
2021-01-05,528.0,290.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,Yes,,1
2021-01-06,606.0,280.0,0.0,230.0,229.0,0.0,229.0,0.0,24.0,0.0,8.0,Yes,,1
2021-01-07,831.0,274.0,0.0,288.0,287.0,0.0,287.0,0.0,27.0,0.0,9.0,Yes,,1
2021-01-08,889.0,,0.1,534.0,533.0,0.1,533.0,0.1,42.0,0.0,7.0,Yes,,1
2021-01-09,0.0,,0.1,627.0,626.0,0.1,626.0,0.1,52.0,0.0,0.0,Yes,,1
2021-01-10,0.0,281.0,0.1,820.0,819.0,0.1,819.0,0.1,82.0,0.1,0.0,Yes,,1
2021-01-11,1788.0,284.0,0.1,921.0,920.0,0.1,920.0,0.1,89.0,0.1,18.0,Yes,,1
2021-01-12,993.0,267.0,0.1,1082.0,1081.0,0.1,1081.0,0.1,106.0,0.1,9.0,Yes,,1
2021-01-13,934.0,243.0,0.1,1185.0,1184.0,0.1,1184.0,0.2,112.0,0.1,15.0,Yes,,1
2021-01-14,226.0,248.0,0.2,1872.0,1871.0,0.2,1871.0,0.3,345.0,0.2,4.0,Yes,,1
2021-01-15,499.0,,0.2,1890.0,1889.0,0.2,1889.0,0.3,347.0,0.2,5.0,Yes,,1
2021-01-16,0.0,,0.2,2336.0,2334.0,0.3,2334.0,0.3,456.0,0.3,0.0,Yes,,1
2021-01-17,0.0,276.0,0.2,2357.0,2355.0,0.3,2355.0,0.3,456.0,0.3,0.0,Yes,,1
2021-01-18,1356.0,283.0,0.3,2613.0,2611.0,0.3,2610.0,0.4,554.0,0.4,21.0,Yes,,1
2021-01-19,536.0,279.0,0.3,2629.0,2627.0,0.3,2626.0,0.4,555.0,0.4,2.0,Yes,,1
2021-01-20,462.0,263.0,0.4,3445.0,3443.0,0.4,3441.0,0.5,969.0,0.6,15.0,Yes,,1
2021-01-21,433.0,250.0,0.4,4242.0,4240.0,0.5,4238.0,0.6,1239.0,0.8,10.0,Yes,,1
2021-01-22,553.0,,0.5,4325.0,4323.0,0.5,4320.0,0.6,1244.0,0.8,8.0,Yes,,1
2021-01-23,0.0,,0.5,4991.0,4989.0,0.6,4986.0,0.7,1467.0,1.0,0.0,Yes,,1
2021-01-24,0.0,258.0,0.6,6042.0,6040.0,0.7,6037.0,0.8,1812.0,1.2,0.0,Yes,,1
2021-01-25,1282.0,265.0,0.7,6220.0,6218.0,0.8,6215.0,0.8,1833.0,1.2,13.0,Yes,,1
2021-01-26,419.0,250.0,0.7,7020.0,7018.0,0.9,7015.0,1.0,1996.0,1.3,7.0,Yes,,1
2021-01-27,650.0,257.0,0.8,7145.0,7143.0,0.9,7140.0,1.0,2006.0,1.3,11.0,Yes,,1
2021-01-28,281.0,253.0,0.9,8904.0,8902.0,1.1,8894.0,1.2,2465.0,1.6,10.0,Yes,,1
2021-01-29,329.0,,1.0,9674.0,9672.0,1.2,9662.0,1.3,2665.0,1.7,5.0,Yes,,1
2021-01-30,0.0,,1.0,9786.0,9784.0,1.2,9774.0,1.3,2678.0,1.7,0.0,Yes,,1
2021-01-31,0.0,229.0,1.2,11573.0,11571.0,1.4,11555.0,1.6,3523.0,2.3,0.0,Yes,,1
2021-02-01,961.0,211.0,1.3,12163.0,12161.0,1.5,12144.0,1.7,3930.0,2.6,6.0,Yes,8.3,1
2021-02-02,664.0,214.0,1.3,12531.0,12529.0,1.5,12511.0,1.7,4125.0,2.7,2.0,Yes,,1
2021-02-03,111.0,203.0,1.4,12943.0,12941.0,1.6,12923.0,1.8,4293.0,2.8,3.0,Yes,,1
2021-02-04,271.0,214.0,1.5,13963.0,13961.0,1.7,13941.0,1.9,4552.0,3.0,3.0,Yes,,1
2021-02-05,371.0,,1.6,14743.0,14741.0,1.8,14720.0,2.0,4727.0,3.1,1.0,Yes,,1
2021-02-06,0.0,,1.6,15085.0,15083.0,1.9,15062.0,2.1,4835.0,3.1,0.0,Yes,,1
2021-02-07,0.0,224.0,1.8,17057.0,17055.0,2.1,17031.0,2.3,5770.0,3.7,0.0,Yes,,1
2021-02-08,1067.0,229.0,1.9,17517.0,17515.0,2.2,17491.0,2.4,5965.0,3.9,18.0,Yes,,1
2021-02-09,281.0,221.0,1.9,17769.0,17767.0,2.2,17743.0,2.4,6077.0,3.9,1.0,Yes,,1
2021-02-10,258.0,207.0,2.1,19979.0,19977.0,2.5,19951.0,2.7,7308.0,4.7,9.0,Yes,,1
2021-02-11,256.0,194.0,2.3,21450.0,21448.0,2.6,21421.0,2.9,8078.0,5.2,7.0,Yes,,1
2021-02-12,245.0,,2.3,21581.0,21579.0,2.7,21552.0,2.9,8128.0,5.3,4.0,Yes,,1
2021-02-13,0.0,,2.6,24785.0,24783.0,3.1,24746.0,3.4,10019.0,6.5,0.0,Yes,,1
2021-02-14,0.0,168.0,2.8,26303.0,26301.0,3.2,26263.0,3.6,11201.0,7.3,0.0,Yes,,1
2021-02-15,755.0,167.0,2.9,27062.0,27060.0,3.3,27022.0,3.7,11746.0,7.6,12.0,Yes,,1
2021-02-16,191.0,175.0,3.0,28521.0,28519.0,3.5,28481.0,3.9,12764.0,8.3,2.0,Yes,,1
2021-02-17,140.0,166.0,3.0,28681.0,28679.0,3.5,28641.0,3.9,12833.0,8.3,10.0,Yes,,1
2021-02-18,197.0,154.0,3.3,31045.0,31043.0,3.8,31005.0,4.2,14635.0,9.5,6.0,Yes,,1
2021-02-19,387.0,,3.4,32422.0,32420.0,4.0,32382.0,4.4,15530.0,10.1,11.0,Yes,,1
2021-02-20,0.0,,3.6,33717.0,33715.0,4.2,33677.0,4.6,16354.0,10.6,0.0,Yes,,1
2021-02-21,0.0,150.0,3.8,36167.0,36164.0,4.5,36122.0,4.9,18154.0,11.8,0.0,Yes,,1
2021-02-22,622.0,149.0,3.9,37174.0,37171.0,4.6,37126.0,5.1,18896.0,12.3,7.0,Yes,,1
2021-02-23,434.0,155.0,4.1,39047.0,39043.0,4.8,38995.0,5.3,20200.0,13.1,3.0,Yes,,1
2021-02-24,473.0,147.0,4.3,40507.0,40503.0,5.0,40455.0,5.5,21232.0,13.8,2.0,Yes,,1
2021-02-25,301.0,140.0,4.7,44275.0,44269.0,5.5,44220.0,6.0,23991.0,15.6,5.0,Yes,,1
2021-02-26,232.0,,5.0,47410.0,47402.0,5.8,47351.0,6.5,26463.0,17.2,7.0,Yes,,1
2021-02-27,0.0,,5.0,47473.0,47465.0,5.8,47414.0,6.5,26477.0,17.2,0.0,Yes,,1
2021-02-28,0.0,126.0,5.6,52996.0,52987.0,6.5,52935.0,7.2,30614.0,19.9,0.0,Yes,,1
2021-03-01,782.0,125.0,5.7,53720.0,53711.0,6.6,53656.0,7.3,31100.0,20.2,5.0,Yes,8.1,1
