date,confirmed_cases,hosp_cases,Series_Complete_Pop_Pct,Series_Complete_Yes,Series_Complete_12Plus,Series_Complete_12PlusPop_Pct,Series_Complete_18Plus,Series_Complete_18PlusPop_Pct,Series_Complete_65Plus,Series_Complete_65PlusPop_Pct,death,Face_Masks_Required_in_Public,unemployment_rate,mask_required,population,rolling_cc_avg,rolling_cc_avg_diff,population_at_risk,daily_rate_of_infection,change_in_daily_rate_of_infection,rolling_death_avg
2020-02-01,0.0,,,,,,,,,,0.0,,4.0,0,957419,0.0,0.0,957419.0,0.0,0.0,
2020-02-02,0.0,,,,,,,,,,0.0,,,0,957419,0.0,0.0,957419.0,0.0,0.0,
2020-02-03,0.0,,,,,,,,,,0.0,,,0,957419,0.0,0.0,957419.0,0.0,0.0,
2020-02-04,0.0,,,,,,,,,,0.0,,,0,957419,0.0,0.0,957419.0,0.0,0.0,
2020-02-05,0.0,,,,,,,,,,0.0,,,0,957419,0.0,0.0,957419.0,0.0,0.0,
2020-02-06,0.0,,,,,,,,,,0.0,,,0,957419,0.0,0.0,957419.0,0.0,0.0,
2020-02-07,0.0,,,,,,,,,,0.0,,,0,957419,0.0,0.0,957419.0,0.0,0.0,0.0
2020-02-08,0.0,,,,,,,,,,0.0,,,0,957419,0.0,0.0,957419.0,0.0,0.0,0.0
2020-02-09,0.0,,,,,,,,,,0.0,,,0,957419,0.0,0.0,957419.0,0.0,0.0,0.0
2020-02-10,0.0,,,,,,,,,,0.0,,,0,957419,0.0,0.0,957419.0,0.0,0.0,0.0
2020-02-11,0.0,,,,,,,,,,0.0,,,0,957419,0.0,0.0,957419.0,0.0,0.0,0.0
2020-02-12,0.0,,,,,,,,,,0.0,,,0,957419,0.0,0.0,957419.0,0.0,0.0,0.0
2020-02-13,0.0,,,,,,,,,,0.0,,,0,957419,0.0,0.0,957419.0,0.0,0.0,0.0
2020-02-14,0.0,,,,,,,,,,0.0,,,0,957419,0.0,0.0,957419.0,0.0,0.0,0.0
2020-02-15,0.0,,,,,,,,,,0.0,,,0,957419,0.0,0.0,957419.0,0.0,0.0,0.0
2020-02-16,0.0,,,,,,,,,,0.0,,,0,957419,0.0,0.0,957419.0,0.0,0.0,0.0
2020-02-17,0.0,,,,,,,,,,0.0,,,0,957419,0.0,0.0,957419.0,0.0,0.0,0.0
2020-02-18,0.0,,,,,,,,,,0.0,,,0,957419,0.0,0.0,957419.0,0.0,0.0,0.0
2020-02-19,0.0,,,,,,,,,,0.0,,,0,957419,0.0,0.0,957419.0,0.0,0.0,0.0
2020-02-20,0.0,,,,,,,,,,0.0,,,0,957419,0.0,0.0,957419.0,0.0,0.0,0.0
2020-02-21,0.0,,,,,,,,,,0.0,,,0,957419,0.0,0.0,957419.0,0.0,0.0,0.0
2020-02-22,0.0,,,,,,,,,,0.0,,,0,957419,0.0,0.0,957419.0,0.0,0.0,0.0
2020-02-23,0.0,,,,,,,,,,0.0,,,0,957419,0.0,0.0,957419.0,0.0,0.0,0.0
2020-02-24,0.0,,,,,,,,,,0.0,,,0,957419,0.0,0.0,957419.0,0.0,0.0,0.0
2020-02-25,0.0,,,,,,,,,,0.0,,,0,957419,0.0,0.0,957419.0,0.0,0.0,0.0
2020-02-26,0.0,,,,,,,,,,0.0,,,0,957419,0.0,0.0,957419.0,0.0,0.0,0.0
2020-02-27,0.0,,,,,,,,,,0.0,,,0,957419,0.0,0.0,957419.0,0.0,0.0,0.0
2020-02-28,0.0,,,,,,,,,,0.0,,,0,957419,0.0,0.0,957419.0,0.0,0.0,0.0
2020-02-29,0.0,,,,,,,,,,0.0,,,0,957419,0.0,0.0,957419.0,0.0,0.0,0.0
2020-03-01,0.0,,,,,,,,,,0.0,,4.2,0,957419,0.0,0.0,957419.0,0.0,0.0,0.0
2020-03-02,0.0,,,,,,,,,,0.0,,,0,957419,0.0,0.0,957419.0,0.0,0.0,0.0
2020-03-03,0.0,,,,,,,,,,0.0,,,0,957419,0.0,0.0,957419.0,0.0,0.0,0.0
2020-03-04,0.0,,,,,,,,,,0.0,,,0,957419,0.0,0.0,957419.0,0.0,0.0,0.0
2020-03-05,0.0,,,,,,,,,,0.0,,,0,957419,0.0,0.0,957419.0,0.0,0.0,0.0
2020-03-06,0.0,,,,,,,,,,0.0,,,0,957419,0.0,0.0,957419.0,0.0,0.0,0.0
2020-03-07,0.0,,,,,,,,,,0.0,,,0,957419,0.0,0.0,957419.0,0.0,0.0,0.0
2020-03-08,0.0,,,,,,,,,,0.0,,,0,957419,0.0,0.0,957419.0,0.0,0.0,0.0
2020-03-09,0.0,,,,,,,,,,0.0,,,0,957419,0.0,0.0,957419.0,0.0,0.0,0.0
2020-03-10,1.0,,,,,,,,,,0.0,,,0,957419,0.14285714285714285,0.14285714285714285,957418.8571428572,1.4921070521157182e-07,1.4921070521157182e-05,0.0
2020-03-11,1.0,,,,,,,,,,0.0,,,0,957419,0.2857142857142857,0.14285714285714285,957418.7142857143,1.492107274754097e-07,2.226383787268257e-12,0.0
2020-03-12,2.0,,,,,,,,,,0.0,,,0,957419,0.5714285714285714,0.2857142857142857,957418.4285714285,2.9842154400621075e-07,1.4921081653080105e-05,0.0
2020-03-13,4.0,,,,,,,,,,0.0,,,0,957419,1.1428571428571428,0.5714285714285714,957417.8571428572,5.968434442343058e-07,2.9842190022809506e-05,0.0
2020-03-14,7.0,,,,,,,,,,0.0,,,0,957419,2.142857142857143,1.0,957416.8571428572,1.0444771183413464e-06,4.476336741070405e-05,0.0
2020-03-15,0.0,,,,,,,,,,0.0,,,0,957419,2.142857142857143,0.0,957416.8571428572,0.0,-0.00010444771183413463,0.0
2020-03-16,14.0,,,,,,,,,,0.0,,,0,957419,4.142857142857143,2.0000000000000004,957414.8571428572,2.088958600421612e-06,0.0002088958600421612,0.0
2020-03-17,19.0,,,,,,,,,,0.0,,,0,957419,6.714285714285714,2.571428571428571,957412.2857142857,2.685811128389829e-06,5.968525279682171e-05,0.0
2020-03-18,21.0,,,,,,,,,,1.0,,,0,957419,9.571428571428571,2.8571428571428568,957409.4285714285,2.9842434927824577e-06,2.984323643926286e-05,0.14285714285714285
2020-03-19,33.0,,,,,,,,,,2.0,,,0,957419,14.0,4.428571428571429,957405.0,4.625598809878191e-06,0.0001641355317095733,0.42857142857142855
2020-03-20,20.0,,,,,,,,,,1.0,,,0,957419,16.285714285714285,2.2857142857142847,957402.7142857143,2.387411537076724e-06,-0.00022381872728014667,0.5714285714285714
2020-03-21,0.0,,,,,,,,,,0.0,,,0,957419,15.285714285714286,-0.9999999999999982,957403.7142857143,-1.0444914565075231e-06,-0.0003431902993584247,0.5714285714285714
2020-03-22,86.0,,,,,,,,,,1.0,,,0,957419,27.571428571428573,12.285714285714286,957391.4285714285,1.2832488279163323e-05,0.0013876979735670846,0.7142857142857143
2020-03-23,62.0,,,,,,,,,,1.0,,,0,957419,34.42857142857143,6.857142857142858,957384.5714285715,7.162370338714462e-06,-0.0005670117940448861,0.8571428571428571
2020-03-24,114.0,23.0,,,,,,,,,1.0,,,0,957419,48.0,13.57142857142857,957371.0,1.4175725577052751e-05,0.0007013355238338289,1.0
2020-03-25,162.0,47.0,,,,,,,,,5.0,,,0,957419,68.14285714285714,20.14285714285714,957350.8571428572,2.1040203800487532e-05,0.0006864478223434781,1.5714285714285714
2020-03-26,61.0,49.0,,,,,,,,,1.0,,,0,957419,72.14285714285714,4.0,957346.8571428572,4.178213956786524e-06,-0.001686198984370101,1.4285714285714286
2020-03-27,145.0,68.0,,,,,,,,,2.0,,,0,957419,90.0,17.85714285714286,957329.0,1.8653088809743423e-05,0.0014474874852956898,1.5714285714285714
2020-03-28,156.0,88.0,,,,,,,,,5.0,,,0,957419,112.28571428571429,22.285714285714292,957306.7142857143,2.327959676156933e-05,0.00046265079518259083,2.2857142857142856
2020-03-29,337.0,189.0,,,,,,,,,1.0,,,0,957419,148.14285714285714,35.85714285714285,957270.8571428572,3.745767730166234e-05,0.0014178080540093005,2.2857142857142856
2020-03-30,200.0,101.0,,,,,,,,,0.0,,,0,957419,167.85714285714286,19.714285714285722,957251.1428571428,2.0594684959522498e-05,-0.001686299234213984,2.142857142857143
2020-03-31,425.0,275.0,,,,,,,,,17.0,,,0,957419,212.28571428571428,44.428571428571416,957206.7142857143,4.6414813817645285e-05,0.002582012885812279,4.428571428571429
2020-04-01,116.0,359.0,,,,,,,,,8.0,,8.2,0,957419,205.71428571428572,-6.571428571428555,957213.2857142857,-6.865166488495681e-06,-0.005327998030614097,4.857142857142857
2020-04-02,146.0,381.0,,,,,,,,,19.0,,,0,957419,217.85714285714286,12.142857142857139,957201.1428571428,1.268579465608661e-05,0.001955096114458229,7.428571428571429
2020-04-03,584.0,409.0,,,,,,,,,10.0,,,0,957419,280.57142857142856,62.714285714285694,957138.4285714285,6.552269122439222e-05,0.005283689656830561,8.571428571428571
2020-04-04,108.0,475.0,,,,,,,,,11.0,,,0,957419,273.7142857142857,-6.857142857142833,957145.2857142857,-7.164160926755832e-06,-0.007268685215114806,9.428571428571429
2020-04-05,226.0,531.0,,,,,,,,,10.0,,,0,957419,257.85714285714283,-15.85714285714289,957161.1428571428,-1.6566847678133945e-05,-0.0009402686751378112,10.714285714285714
2020-04-06,669.0,572.0,,,,,,,,,5.0,,,0,957419,324.85714285714283,67.0,957094.1428571428,7.000356286790119e-05,0.008657041054603513,11.428571428571429
2020-04-07,417.0,613.0,,,,,,,,,31.0,,,0,957419,323.7142857142857,-1.1428571428571104,957095.2857142857,-1.1940891987616358e-06,-0.007119765206666282,13.428571428571429
2020-04-08,0.0,665.0,,,,,,,,,0.0,,,0,957419,307.14285714285717,-16.571428571428555,957111.8571428572,-1.7313993602479348e-05,-0.0016119904403717712,12.285714285714286
2020-04-09,746.0,664.0,,,,,,,,,46.0,,,0,957419,392.85714285714283,85.71428571428567,957026.1428571428,8.956316016445583e-05,0.010687715376693517,16.142857142857142
2020-04-10,298.0,685.0,,,,,,,,,25.0,,,0,957419,352.0,-40.85714285714283,957067.0,-4.2689950502047225e-05,-0.013225311066650307,18.285714285714285
2020-04-11,227.0,676.0,,,,,,,,,17.0,,,0,957419,369.0,17.0,957050.0,1.7762917297946816e-05,0.006045286779999404,19.142857142857142
2020-04-12,127.0,688.0,,,,,,,,,28.0,,,0,957419,354.85714285714283,-14.142857142857167,957064.1428571428,-1.4777334673344057e-05,-0.0032540251971290876,21.714285714285715
2020-04-13,470.0,710.0,,,,,,,,,14.0,,,0,957419,326.42857142857144,-28.428571428571388,957092.5714285715,-2.97030530559217e-05,-0.0014925718382577642,23.0
2020-04-14,209.0,731.0,,,,,,,,,25.0,,,0,957419,296.7142857142857,-29.714285714285722,957122.2857142857,-3.104544336475292e-05,-0.0001342390308831223,22.142857142857142
2020-04-15,267.0,784.0,,,,,,,,,78.0,,,0,957419,334.85714285714283,38.14285714285711,957084.1428571428,3.985319099425349e-05,0.007089863435900642,33.285714285714285
2020-04-16,336.0,787.0,,,,,,,,,41.0,,,0,957419,276.2857142857143,-58.571428571428555,957142.7142857143,-6.119403898418491e-05,-0.01010472299784384,32.57142857142857
2020-04-17,330.0,797.0,,,,,,,,,19.0,,,0,957419,280.85714285714283,4.571428571428555,957138.1428571428,4.776142927271118e-06,0.0065970181911456025,31.714285714285715
2020-04-18,217.0,776.0,,,,,,,,,7.0,,,0,957419,279.42857142857144,-1.428571428571388,957139.5714285715,-1.4925424370859355e-06,-0.0006268685364357054,30.285714285714285
2020-04-19,71.0,746.0,,,,,,,,,15.0,,,0,957419,271.42857142857144,-8.0,957147.5714285715,-8.358167788128804e-06,-0.0006865625351042869,28.428571428571427
2020-04-20,886.0,733.0,,,,,,,,,65.0,Yes,,1,957419,330.85714285714283,59.42857142857139,957088.1428571428,6.209310173999495e-05,0.007045126952812375,35.714285714285715
2020-04-21,152.0,735.0,,,,,,,,,32.0,Yes,,1,957419,322.7142857142857,-8.14285714285711,957096.2857142857,-8.5078766519087e-06,-0.007060097839190365,36.714285714285715
2020-04-22,1411.0,749.0,,,,,,,,,40.0,Yes,,1,957419,486.14285714285717,163.42857142857144,956932.8571428572,0.00017078373911888131,0.017929161577079,31.285714285714285
2020-04-23,125.0,730.0,,,,,,,,,31.0,Yes,,1,957419,456.0,-30.142857142857167,956963.0,-3.149845620244165e-05,-0.0202282195321323,29.857142857142858
2020-04-24,219.0,694.0,,,,,,,,,47.0,Yes,,1,957419,440.14285714285717,-15.857142857142833,956978.8571428572,-1.6570003337885333e-05,0.0014928452864556318,33.857142857142854
2020-04-25,146.0,649.0,,,,,,,,,27.0,Yes,,1,957419,430.0,-10.142857142857167,956989.0,-1.059871862984545e-05,0.0005971284708039883,36.714285714285715
2020-04-26,156.0,635.0,,,,,,,,,18.0,Yes,,1,957419,442.14285714285717,12.142857142857167,956976.8571428572,1.268876781316404e-05,0.002328748644300949,37.142857142857146
