date,Series_Complete_Pop_Pct,Series_Complete_Yes,Series_Complete_12Plus,Series_Complete_12PlusPop_Pct,Series_Complete_18Plus,Series_Complete_18PlusPop_Pct,Series_Complete_65Plus,Series_Complete_65PlusPop_Pct
2021-12-07,74.7,705121,696694.0,85.8,635701,86.6,142351,92.5
2021-12-06,74.6,704161,696494.0,85.8,635536,86.6,142339,92.5
2021-12-05,74.6,704072,696427.0,85.8,635475,86.6,142335,92.5
2021-12-04,74.2,699886,695831.0,85.7,635010,86.6,142294,92.4
2021-12-03,74.0,698485,695377.0,85.7,634622,86.5,142254,92.4
2021-12-02,73.9,697593,695097.0,85.6,634377,86.5,142222,92.4
2021-12-01,73.8,696432,694746.0,85.6,634073,86.4,142191,92.4
2021-11-30,73.7,695558,694431.0,85.5,633799,86.4,142161,92.3
2021-11-29,73.6,694323,693939.0,85.5,633376,86.3,142113,92.3
2021-11-28,73.5,693032,692833.0,85.3,632404,86.2,142012,92.2
2021-11-27,73.5,693032,692833.0,85.3,632404,86.2,142012,92.2
2021-11-26,73.5,693032,692833.0,85.3,632404,86.2,142012,92.2
2021-11-25,73.5,693032,692833.0,85.3,632404,86.2,142012,92.2
2021-11-24,73.5,693032,692833.0,85.3,632404,86.2,142012,92.2
2021-11-23,73.4,692734,692535.0,85.3,632129,86.2,141969,92.2
2021-11-22,73.4,692507,692309.0,85.3,631930,86.1,141953,92.2
2021-11-21,73.4,692174,691976.0,85.2,631644,86.1,141924,92.2
2021-11-20,73.3,691705,691507.0,85.2,631219,86.0,141865,92.1
2021-11-19,73.3,691312,691114.0,85.1,630864,86.0,141823,92.1
2021-11-18,73.2,690913,690715.0,85.1,630497,85.9,141769,92.1
2021-11-17,73.2,690446,690248.0,85.0,630064,85.9,141709,92.0
2021-11-16,73.2,690073,689875.0,85.0,629733,85.8,141662,92.0
2021-11-15,73.1,689819,689622.0,85.0,629521,85.8,141643,92.0
2021-11-14,73.1,689449,689252.0,84.9,629204,85.8,141615,92.0
2021-11-13,73.0,689036,688840.0,84.9,628845,85.7,141580,92.0
2021-11-12,73.0,688662,688466.0,84.8,628505,85.7,141535,91.9
2021-11-11,73.0,688220,688024.0,84.8,628095,85.6,141477,91.9
2021-11-10,72.9,687651,687455.0,84.7,627590,85.5,141389,91.8
2021-11-09,72.9,687285,687089.0,84.6,627282,85.5,141335,91.8
2021-11-08,72.8,687055,686859.0,84.6,627083,85.5,141314,91.8
2021-11-07,72.8,686415,686223.0,84.5,626559,85.4,141266,91.8
2021-11-06,72.7,685876,685684.0,84.5,626077,85.3,141189,91.7
2021-11-05,72.7,685361,685169.0,84.4,625603,85.3,141123,91.7
2021-11-04,72.6,685008,684816.0,84.4,625274,85.2,141062,91.6
2021-11-03,72.6,684408,684225.0,84.3,624767,85.2,140976,91.6
2021-11-02,72.5,683884,683703.0,84.2,624313,85.1,140903,91.5
2021-11-01,72.5,683593,683412.0,84.2,624060,85.1,140874,91.5
2021-10-31,72.4,682684,682503.0,84.1,623258,85.0,140738,91.4
2021-10-30,72.4,682629,682448.0,84.1,623205,84.9,140730,91.4
2021-10-29,72.3,682086,681905.0,84.0,622729,84.9,140629,91.3
2021-10-28,72.2,681539,681358.0,83.9,622238,84.8,140558,91.3
2021-10-27,72.2,680923,680744.0,83.9,621683,84.7,140462,91.2
2021-10-26,72.1,680455,680276.0,83.8,621272,84.7,140389,91.2
2021-10-25,72.1,680128,679949.0,83.8,620993,84.6,140362,91.2
2021-10-24,72.0,679256,679077.0,83.7,620246,84.5,140263,91.1
2021-10-23,72.0,679184,679005.0,83.6,620184,84.5,140257,91.1
2021-10-22,71.9,678679,678500.0,83.6,619744,84.5,140204,91.1
2021-10-21,71.8,677397,677219.0,83.4,618596,84.3,140086,91.0
2021-10-20,71.7,676808,676631.0,83.3,618105,84.2,140022,91.0
2021-10-19,71.7,676257,676080.0,83.3,617632,84.2,139963,90.9
2021-10-18,71.6,675386,675217.0,83.2,616903,84.1,139900,90.9
2021-10-17,71.6,675313,675144.0,83.2,616841,84.1,139896,90.9
2021-10-16,71.5,674631,674462.0,83.1,616255,84.0,139846,90.8
2021-10-15,71.5,674134,673965.0,83.0,615821,83.9,139784,90.8
2021-10-14,71.4,673318,673150.0,82.9,615123,83.8,139696,90.7
2021-10-13,71.3,672611,672443.0,82.8,614520,83.8,139627,90.7
2021-10-12,71.2,672101,671933.0,82.8,614096,83.7,139576,90.7
2021-10-11,71.2,671797,671629.0,82.7,613844,83.7,139548,90.6
2021-10-10,71.1,671094,670926.0,82.6,613254,83.6,139495,90.6
2021-10-09,71.1,670549,670381.0,82.6,612796,83.5,139440,90.6
2021-10-08,71.0,669951,669783.0,82.5,612264,83.5,139370,90.5
2021-10-07,70.9,668965,668797.0,82.4,611408,83.3,139273,90.5
2021-10-06,70.9,668442,668274.0,82.3,610963,83.3,139214,90.4
2021-10-05,70.8,667887,667719.0,82.3,610490,83.2,139152,90.4
2021-10-04,70.7,667399,667231.0,82.2,610104,83.2,139121,90.4
2021-10-03,70.6,666320,666152.0,82.1,609196,83.0,139041,90.3
2021-10-02,70.5,665350,665182.0,81.9,608357,82.9,138950,90.3
2021-10-01,70.5,664879,664711.0,81.9,607941,82.9,138888,90.2
2021-09-30,70.4,664261,664093.0,81.8,607418,82.8,138817,90.2
2021-09-29,70.4,663652,663484.0,81.7,606886,82.7,138734,90.1
2021-09-28,70.3,662827,662661.0,81.6,606219,82.6,138657,90.1
2021-09-27,70.2,661753,661587.0,81.5,605360,82.5,138590,90.0
2021-09-26,70.1,661606,661440.0,81.5,605247,82.5,138581,90.0
2021-09-25,70.0,660673,660507.0,81.4,604447,82.4,138509,90.0
2021-09-24,69.9,659648,659482.0,81.2,603570,82.3,138434,89.9
2021-09-23,69.8,658881,658715.0,81.1,602911,82.2,138370,89.9
2021-09-22,69.8,658007,657841.0,81.0,602178,82.1,138287,89.8
2021-09-21,69.7,657251,657085.0,80.9,601562,82.0,138237,89.8
2021-09-20,69.7,657123,656957.0,80.9,601461,82.0,138228,89.8
2021-09-19,69.6,656388,656222.0,80.8,600900,81.9,138203,89.8
2021-09-18,69.4,654250,654084.0,80.6,599249,81.7,138070,89.7
2021-09-17,69.3,654079,653913.0,80.6,599104,81.7,138056,89.7
2021-09-16,69.2,653104,652939.0,80.4,598347,81.6,137982,89.6
2021-09-15,69.1,651797,651632.0,80.3,597273,81.4,137905,89.6
2021-09-14,69.0,650732,650567.0,80.1,596362,81.3,137816,89.5
2021-09-13,68.8,649338,649173.0,80.0,595278,81.1,137734,89.5
2021-09-12,68.7,648386,648221.0,79.9,594560,81.0,137695,89.4
2021-09-11,68.6,647274,647109.0,79.7,593691,80.9,137635,89.4
2021-09-10,68.6,647141,646976.0,79.7,593575,80.9,137629,89.4
2021-09-09,68.5,646098,645933.0,79.6,592742,80.8,137535,89.3
2021-09-08,68.3,644186,644023.0,79.3,591258,80.6,137390,89.2
2021-09-07,68.2,643635,643472.0,79.3,590844,80.5,137364,89.2
2021-09-06,68.2,643390,643227.0,79.2,590654,80.5,137347,89.2
2021-09-05,68.0,641584,641421.0,79.0,589318,80.3,137246,89.1
2021-09-04,68.0,641470,641307.0,79.0,589229,80.3,137241,89.1
2021-09-03,68.0,641332,641169.0,79.0,589109,80.3,137220,89.1
2021-09-02,67.9,640298,640135.0,78.9,588280,80.2,137145,89.1
2021-09-01,67.8,639113,638950.0,78.7,587310,80.1,137039,89.0
2021-08-31,67.5,637079,636916.0,78.5,585746,79.8,136902,88.9
2021-08-30,67.5,637017,636854.0,78.4,585690,79.8,136891,88.9
2021-08-29,67.3,635233,635070.0,78.2,584302,79.6,136803,88.9
2021-08-28,67.2,634105,633942.0,78.1,583428,79.5,136719,88.8
2021-08-27,67.2,634005,633842.0,78.1,583341,79.5,136708,88.8
2021-08-26,67.1,632789,632627.0,77.9,582387,79.4,136595,88.7
2021-08-25,66.9,631463,631301.0,77.8,581359,79.2,136479,88.7
2021-08-24,66.8,630201,630039.0,77.6,580411,79.1,136380,88.6
2021-08-23,66.7,629383,629222.0,77.5,579769,79.0,136326,88.6
2021-08-22,66.6,628251,628090.0,77.4,578910,78.9,136272,88.5
2021-08-21,66.5,627105,626944.0,77.2,578023,78.8,136205,88.5
2021-08-20,66.5,626935,626774.0,77.2,577885,78.8,136182,88.5
2021-08-19,66.3,625821,625660.0,77.1,577038,78.7,136087,88.4
2021-08-18,66.2,624637,624476.0,76.9,576121,78.5,135983,88.3
2021-08-17,66.1,623492,623331.0,76.8,575214,78.4,135918,88.3
2021-08-16,65.9,621900,621739.0,76.6,573975,78.2,135833,88.2
2021-08-15,65.8,621114,620953.0,76.5,573392,78.2,135798,88.2
2021-08-14,65.8,621027,620866.0,76.5,573327,78.1,135796,88.2
2021-08-13,65.7,620060,619899.0,76.4,572553,78.0,135697,88.1
2021-08-12,65.6,618786,618625.0,76.2,571580,77.9,135616,88.1
2021-08-11,65.5,617667,617506.0,76.1,570732,77.8,135538,88.0
2021-08-10,65.4,616967,616806.0,76.0,570155,77.7,135466,88.0
2021-08-09,65.3,616177,616016.0,75.9,569545,77.6,135398,87.9
2021-08-08,65.2,614929,614768.0,75.7,568565,77.5,135338,87.9
2021-08-07,65.2,614870,614709.0,75.7,568513,77.5,135332,87.9
2021-08-06,65.1,613921,613760.0,75.6,567768,77.4,135268,87.9
2021-08-05,65.0,613120,612959.0,75.5,567121,77.3,135208,87.8
2021-08-04,64.9,612189,612028.0,75.4,566382,77.2,135120,87.8
2021-08-03,64.8,611170,611009.0,75.3,565576,77.1,135045,87.7
2021-08-02,64.7,610279,610118.0,75.2,564852,77.0,134988,87.7
